"Continent","Country","Date","Births","Gender"
"Africa","Egypt","1985-11-01",75568,"Female"
"Africa","Egypt","1985-11-01",76487,"Female"
"Africa","Egypt","1986-01-01",58187,"Female"
"Africa","Egypt","1986-01-01",58824,"Female"
"Africa","Egypt","1986-02-01",38135,"Female"
"Africa","Egypt","1986-02-01",38552,"Female"
"Africa","Egypt","1986-03-01",37859,"Female"
"Africa","Egypt","1986-03-01",38273,"Female"
"Africa","Egypt","1986-04-01",32940,"Female"
"Africa","Egypt","1986-04-01",33301,"Female"
"Africa","Egypt","1986-05-01",30302,"Female"
"Africa","Egypt","1986-05-01",30634,"Female"
"Africa","Egypt","1986-06-01",31764,"Female"
"Africa","Egypt","1986-06-01",32112,"Female"
"Africa","Egypt","1986-07-01",37178,"Female"
"Africa","Egypt","1986-07-01",37586,"Female"
"Africa","Egypt","1986-08-01",36589,"Female"
"Africa","Egypt","1986-08-01",36989,"Female"
"Africa","Egypt","1986-09-01",47493,"Female"
"Africa","Egypt","1986-09-01",48013,"Female"
"Africa","Egypt","1986-10-01",44396,"Female"
"Africa","Egypt","1986-10-01",44882,"Female"
"Africa","Egypt","1986-11-01",76962,"Female"
"Africa","Egypt","1986-11-01",77805,"Female"
"Africa","Egypt","1987-01-01",59320,"Female"
"Africa","Egypt","1987-01-01",59920,"Female"
"Africa","Egypt","1987-02-01",37405,"Female"
"Africa","Egypt","1987-02-01",37784,"Female"
"Africa","Egypt","1987-03-01",41199,"Female"
"Africa","Egypt","1987-03-01",41616,"Female"
"Africa","Egypt","1987-04-01",34547,"Female"
"Africa","Egypt","1987-04-01",34897,"Female"
"Africa","Egypt","1987-05-01",28220,"Female"
"Africa","Egypt","1987-05-01",28506,"Female"
"Africa","Egypt","1987-06-01",35421,"Female"
"Africa","Egypt","1987-06-01",35779,"Female"
"Africa","Egypt","1987-07-01",35609,"Female"
"Africa","Egypt","1987-07-01",35969,"Female"
"Africa","Egypt","1987-08-01",36143,"Female"
"Africa","Egypt","1987-08-01",36509,"Female"
"Africa","Egypt","1987-09-01",45704,"Female"
"Africa","Egypt","1987-09-01",46166,"Female"
"Africa","Egypt","1987-10-01",41512,"Female"
"Africa","Egypt","1987-10-01",41932,"Female"
"Africa","Egypt","1987-11-01",38970,"Female"
"Africa","Egypt","1987-11-01",39365,"Female"
"Africa","Egypt","1987-12-01",36813,"Female"
"Africa","Egypt","1987-12-01",37186,"Female"
"Africa","Egypt","1988-01-01",57642,"Female"
"Africa","Egypt","1988-01-01",58201,"Female"
"Africa","Egypt","1988-02-01",37841,"Female"
"Africa","Egypt","1988-02-01",38208,"Female"
"Africa","Egypt","1988-03-01",41260,"Female"
"Africa","Egypt","1988-03-01",41660,"Female"
"Africa","Egypt","1988-04-01",33757,"Female"
"Africa","Egypt","1988-04-01",34085,"Female"
"Africa","Egypt","1988-05-01",31573,"Female"
"Africa","Egypt","1988-05-01",31879,"Female"
"Africa","Egypt","1988-06-01",35985,"Female"
"Africa","Egypt","1988-06-01",36334,"Female"
"Africa","Egypt","1988-07-01",32855,"Female"
"Africa","Egypt","1988-07-01",33173,"Female"
"Africa","Egypt","1988-08-01",42188,"Female"
"Africa","Egypt","1988-08-01",42598,"Female"
"Africa","Egypt","1988-09-01",45856,"Female"
"Africa","Egypt","1988-09-01",46300,"Female"
"Africa","Egypt","1988-10-01",43068,"Female"
"Africa","Egypt","1988-10-01",43486,"Female"
"Africa","Egypt","1988-11-01",37062,"Female"
"Africa","Egypt","1988-11-01",37421,"Female"
"Africa","Egypt","1988-12-01",34490,"Female"
"Africa","Egypt","1988-12-01",34825,"Female"
"Africa","Egypt","1989-01-01",52462,"Female"
"Africa","Egypt","1989-01-01",52969,"Female"
"Africa","Egypt","1989-02-01",34622,"Female"
"Africa","Egypt","1989-02-01",34957,"Female"
"Africa","Egypt","1989-03-01",35321,"Female"
"Africa","Egypt","1989-03-01",35662,"Female"
"Africa","Egypt","1989-04-01",28621,"Female"
"Africa","Egypt","1989-04-01",28897,"Female"
"Africa","Egypt","1989-05-01",28307,"Female"
"Africa","Egypt","1989-05-01",28580,"Female"
"Africa","Egypt","1989-06-01",29419,"Female"
"Africa","Egypt","1989-06-01",29703,"Female"
"Africa","Egypt","1989-07-01",33247,"Female"
"Africa","Egypt","1989-07-01",33568,"Female"
"Africa","Egypt","1989-08-01",37120,"Female"
"Africa","Egypt","1989-08-01",37479,"Female"
"Africa","Egypt","1989-09-01",43021,"Female"
"Africa","Egypt","1989-09-01",43437,"Female"
"Africa","Egypt","1989-10-01",38157,"Female"
"Africa","Egypt","1989-10-01",38525,"Female"
"Africa","Egypt","1989-11-01",35336,"Female"
"Africa","Egypt","1989-11-01",35678,"Female"
"Africa","Egypt","1989-12-01",30960,"Female"
"Africa","Egypt","1989-12-01",31259,"Female"
"Africa","Egypt","1990-01-01",55421,"Female"
"Africa","Egypt","1990-01-01",55974,"Female"
"Africa","Egypt","1990-02-01",35117,"Female"
"Africa","Egypt","1990-02-01",35468,"Female"
"Africa","Egypt","1990-03-01",35635,"Female"
"Africa","Egypt","1990-03-01",35990,"Female"
"Africa","Egypt","1990-04-01",27172,"Female"
"Africa","Egypt","1990-04-01",27443,"Female"
"Africa","Egypt","1990-05-01",33245,"Female"
"Africa","Egypt","1990-05-01",33577,"Female"
"Africa","Egypt","1990-06-01",30437,"Female"
"Africa","Egypt","1990-06-01",30741,"Female"
"Africa","Egypt","1990-07-01",29822,"Female"
"Africa","Egypt","1990-07-01",30120,"Female"
"Africa","Egypt","1990-08-01",33863,"Female"
"Africa","Egypt","1990-08-01",34201,"Female"
"Africa","Egypt","1990-09-01",42391,"Female"
"Africa","Egypt","1990-09-01",42814,"Female"
"Africa","Egypt","1990-10-01",36074,"Female"
"Africa","Egypt","1990-10-01",36434,"Female"
"Africa","Egypt","1990-11-01",32037,"Female"
"Africa","Egypt","1990-11-01",32357,"Female"
"Africa","Egypt","1990-12-01",26319,"Female"
"Africa","Egypt","1990-12-01",26581,"Female"
"Africa","Egypt","1991-01-01",55686,"Female"
"Africa","Egypt","1991-01-01",56281,"Female"
"Africa","Egypt","1991-02-01",28303,"Female"
"Africa","Egypt","1991-02-01",28605,"Female"
"Africa","Egypt","1991-03-01",32022,"Female"
"Africa","Egypt","1991-03-01",32364,"Female"
"Africa","Egypt","1991-04-01",28110,"Female"
"Africa","Egypt","1991-04-01",28410,"Female"
"Africa","Egypt","1991-05-01",32934,"Female"
"Africa","Egypt","1991-05-01",33285,"Female"
